_id,Source,Source_ID,Location,Artist,Title,Medium,ArtForm,Status,ImageName,ImageURL,ThumbURL,ImageAltText,WARD,WARD_FULLNAME,YEAR_INSTALLED,Description,OwnedBy,CommissionedBy,PublicArtConsultant,ImageOrientation,ExternalLink,ExternalLinkText,geometry
106,Percent for Public Art - Private Developer Program,2057,"285 Mutual Street, Radio City Condos","Brener, Roland",Radioville,"Stainless Steel, Light",None,Existing,Brener_Radioville.jpg,https://www.toronto.ca/ext/pln/publicart/Brener_Radioville.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Brener_Radioville.jpg,None,13,Toronto Centre,2005,None,None,Context Development,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.377768, 43.6632]]}"
107,Percent for Public Art - Private Developer Program,9036,155 Wellington Street West,"Burtynsky, Edward",Rail Cuts,None,None,Existing,Burtynsky_Rail_Cuts1.jpg,https://www.toronto.ca/ext/pln/publicart/Burtynsky_Rail_Cuts1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Burtynsky_Rail_Cuts1.jpg,None,10,Spadina-Fort York,2009,None,None,Cadillac Fairview Corporation Limited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.386507, 43.645698]]}"
108,Percent for Public Art - Private Developer Program,089150 (E),69 Huntley Street,"Snow, Michael",Red Orange and Green,Stainless Steel,None,Existing,RedOrangeGreen1.jpg,https://www.toronto.ca/ext/pln/publicart/RedOrangeGreen1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/RedOrangeGreen1.jpg,None,13,Toronto Centre,1992,None,None,Confederation Life Insurance Company,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.378917, 43.671103]]}"
109,Percent for Public Art Commissions Donated to the City,089150 (H),"55 John Street, Metro Hall","Short, Cynthia",Remembered Sustenance,"Bronze, Cedar Hedge",None,Existing,Remembered_Sustenance.jpg,https://www.toronto.ca/ext/pln/publicart/Remembered_Sustenance.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Remembered_Sustenance.jpg,None,10,Spadina-Fort York,1992,None,None,Marathon Realty Company Limited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.388746, 43.645521]]}"
110,Percent for Public Art - Private Developer Program,8043,"180 University Avenue, Shangri-La Toronto","Huan, Zhang",Rising,None,None,Existing,Huan_Rising1.jpg,https://www.toronto.ca/ext/pln/publicart/Huan_Rising1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Huan_Rising1.jpg,None,10,Spadina-Fort York,2012,"Rising was conceived as a philosophical reflection of the world around us. The polished stainless-steel sculpture is comprised of countless doves, the international symbol of world peace, and a twisted tree branch that resembles the body of a dragon. The sculpture draws an analogy to the fragile conditions facing our planet. The artist seeks to convey the message that humans can exist in harmony with nature, and that, if this delicate balance is struck, our cities will become better places to live.",None,West Bank,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.385845, 43.649112]]}"
111,Percent for Public Art - Private Developer Program,8050,"11 Brunel Court, CityPlace","Gazitua, Francisco",Rosa Nautica,Steel,None,Existing,Gazitua_Rosa_Nautica.jpg,https://www.toronto.ca/ext/pln/publicart/Gazitua_Rosa_Nautica.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Gazitua_Rosa_Nautica.jpg,None,10,Spadina-Fort York,2007,"Rosa Nautica is the second of three major sculptural works by Chilean artist Francisco Gazitua at CityPlace. The literal translation of rosa nautica is ""compass rose"" or ""windrose"", which is a nautical chart used to indicate the cardinal directions of north, south, east and west. The sculptural form of Rosa Nautica also incorporates elements of a sextant which is another type of navigation instrument used to measure the angle of the stars from the horizon. Gazitua explains that his interest in nautical themes relates to the rich maritime history of Chile, as well as his fascination with the sea as evoked in literature and poetry.",None,Concord Adex Development Corporation,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.393437, 43.639562]]}"
112,Percent for Public Art - Private Developer Program,6064,"55 Scollard Street, Four Seasons Hotel & Residences","Covit, Linda",Rose Wall at Mist Gardens,None,None,Existing,Untitled_LindaCovit.jpg,https://www.toronto.ca/ext/pln/publicart/Untitled_LindaCovit.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Untitled_LindaCovit.jpg,None,11,University-Rosedale,2013,None,None,Menkes Developments Limited,None,landscape,https://urbantoronto.ca/news/2013/07/mist-garden-completes-four-seasons-development-yorkville,External website,"{'type': 'MultiPoint', 'coordinates': [[-79.389046, 43.671875]]}"
113,Percent for Public Art Commissions Donated to the City,98005,"1 Blue Jays Way, Rogers Centre","Schelle, Susan",Salmon Run,"Steel, granite",None,Existing,salmonrun.jpg,https://www.toronto.ca/ext/pln/publicart/salmonrun.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/salmonrun.jpg,None,10,Spadina-Fort York,1991,None,None,Stadium Corporation of Ontario Limited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.387195, 43.64174]]}"
114,Percent for Public Art - Private Developer Program,95114,"40 Bay Street, Scotiabank Arena","McEwen, John","Search Light, Star Light, Spot Light",Corten Steel,None,Existing,SearchLight5brighten.jpg,https://www.toronto.ca/ext/pln/publicart/SearchLight5brighten.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/SearchLight5brighten.jpg,None,10,Spadina-Fort York,1999,None,None,Maple Leaf Sports & Entertainment Limited,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.380045, 43.643355]]}"
115,Percent for Public Art Commissions Donated to the City,089150 (H),"55 John Street, Metro Hall","Lexier, Micah",Selections From The Synopsis of Categories,Aluminum,None,Existing,selectionfromsynopsis.jpg,https://www.toronto.ca/ext/pln/publicart/selectionfromsynopsis.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/selectionfromsynopsis.jpg,None,10,Spadina-Fort York,1992,None,None,Marathon Realty Company Ltimited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.389342, 43.646157]]}"
116,Percent for Public Art - Private Developer Program,6101,"500 Doris Avenue, Grand Triomphe 2","Morin, Jean-Pierre",Sentinelles,None,None,Existing,Sentinelles.jpg,https://www.toronto.ca/ext/pln/publicart/Sentinelles.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Sentinelles.jpg,None,18,Willowdale,2009,"This multi-?component artwork maximizes public accessibility and visibility of the artwork through consideration of site conditions, built form opportunities and context. The artwork presents a strong presence on Yonge Street while the through-?block breezeway provides opportunities for a series of artwork elements that have been integrated with landscape finishes. The artwork complements the architecture, landscape architecture and urban design of the project.",None,Tridel,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.414029, 43.776316]]}"
117,Percent for Public Art - Private Developer Program,4017,"1 St. Thomas Street, One St. Thomas Residences","Taçon, Carl",Shift,Marble,None,Existing,OneStThomas.jpg,https://www.toronto.ca/ext/pln/publicart/OneStThomas.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/OneStThomas.jpg,None,11,University-Rosedale,2008,None,None,1  St. Thomas Developments,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.390158, 43.668226]]}"
118,Percent for Public Art - Private Developer Program,8044,"125 Queens Quay East, Corus Quay",Troika,Shoal,Multimedia Installation,None,Existing,Troika_Shoal.jpg,https://www.toronto.ca/ext/pln/publicart/Troika_Shoal.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Troika_Shoal.jpg,None,10,Spadina-Fort York,2010,"Troika's public artwork Shoal combines sculpture with architecture and technology. Spanning across a 50 meter long corridor, 467 fish-like objects wrapped in iridescent colours and suspended from the ceiling rotate rhythmically around their own axis to display the movements and interdependency typical to schools of fish. The ceiling architecture is set in motion and appears liquefied changing the spatial experience of the corridor while opening up the surrounding architecture infinitely towards Lake Ontario.",None,Toronto Port Lands Company & Corus Entertainment,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.366167, 43.64361]]}"
119,Percent for Public Art - Private Developer Program,951116,"100 Princes' Boulevard, Enercare Centre, Exhibition Place","Clapsaddle, Jerry",Shoreline,Brick Pavers,None,Existing,Shoreline.jpg,https://www.toronto.ca/ext/pln/publicart/Shoreline.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Shoreline.jpg,None,10,Spadina-Fort York,1996,"This piece consists of 135,000 individually-laid paving stones at the building's entrances, which form the public promenade adjacent to Princes' Boulevard. A wave pattern moves throughout the design of shoreline, compressing and expanding dynamically. Clapsaddle sees this wave as a metaphor for the flow of trade on the lake-shore site, as well as the forces of nature there.",None,Metro Toronto and Exhibition Place,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.41255158, 43.63453029]]}"
120,Percent for Public Art - Private Developer Program,10101,55 Front Street East,"Raff, Paul",Shoreline Commemorative Feature,None,None,Existing,Shoreline_CommemorativeFeature.jpg,https://www.toronto.ca/ext/pln/publicart/Shoreline_CommemorativeFeature.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Shoreline_CommemorativeFeature.jpg,None,13,Toronto Centre,TBD,None,None,Concert Properties,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.373858, 43.648005]]}"
121,Percent for Public Art - Private Developer Program,6062,"50 Lynn Williams Street and 60 Pirandello Street - Zip, Battery Park and VIBE Condos","Redl, Erwin",Sky Bridge Patterns,Light Installation with Acrylic and Animated RGB LEDs,None,Existing,Redl_Sky_Bridge_Patterns2.jpg,https://www.toronto.ca/ext/pln/publicart/Redl_Sky_Bridge_Patterns2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Redl_Sky_Bridge_Patterns2.jpg,None,10,Spadina-Fort York,2011,The installation transforms the two pedestrian glass bridges into beacons of light reflecting the vibrant activities of the Liberty Village towers. The residents crossing the bridges walk between the installation's lit sheets of glass mounted against the windows. Gradual color and brightness shifts of the glass create a gigantic light mosaic enveloping the viewers. The mosaic's light patterns fade slowly into each other creating a rhythm that breathes a contemplative mood into the surroundings.,None,Monarch Development Corporation,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.415049, 43.639146]]}"
122,Percent for Public Art - Private Developer Program,1100,450 Mount Pleasant Road,"Kantaroff, Maryon",Sky Reach,Bronze,None,Existing,Skysearch1.jpg,https://www.toronto.ca/ext/pln/publicart/Skysearch1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Skysearch1.jpg,None,12,Toronto-St. Paul's,2002,None,None,Greenco,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.38779, 43.70006]]}"
123,Percent for Public Art - Private Developer Program,97100,"222 Bremner Boulevard, Metropolitan Toronto Convention Centre",Fastwürms,Snowm'n,Bronze,None,Existing,Snomun2.jpg,https://www.toronto.ca/ext/pln/publicart/Snomun2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Snomun2.jpg,None,10,Spadina-Fort York,1997,None,None,Metropolitan Toronto Convention Centre,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.385093, 43.642705]]}"
124,Percent for Public Art - Private Developer Program,13009,"88 Scott Street, 88 Scott Condominium Residences","Balmond, Cecil",Spectrum,None,None,Existing,Spectrum.jpg,https://www.toronto.ca/ext/pln/publicart/Spectrum.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Spectrum.jpg,None,13,Toronto Centre,2017,None,None,Concert Properties,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37646653, 43.6484128]]}"
125,Percent for Public Art - Private Developer Program,None,295 Adelaide Street West,"Marman, Jennifer / Borins, Daniel  / Khamsi, James  (FIRM a.d.)",Speech Bubble,None,None,Existing,SpeechBubble.jpg,https://www.toronto.ca/ext/pln/publicart/SpeechBubble.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/SpeechBubble.jpg,None,10,Spadina-Fort York,2016,None,None,Pinnacle International Limited,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.39075996, 43.64760283]]}"
126,Percent for Public Art - Private Developer Program,13100,"225 Sherway Gardens, One Sherway Condos","McEwen, John",Spillway 2013/Sherway Gate,Steel,None,Existing,spillway.jpg,https://www.toronto.ca/ext/pln/publicart/spillway.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/spillway.jpg,None,3,Etobicoke-Lakeshore,2013,None,None,Sherway Gate Development Corporation,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.558332, 43.609209]]}"
127,Percent for Public Art - Private Developer Program,98005,"1 Blue Jays Way, Rogers Centre","Schwarz, Judith",Spiral Fountain,Bronze,None,Existing,SpiralFountain.jpg,https://www.toronto.ca/ext/pln/publicart/SpiralFountain.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/SpiralFountain.jpg,None,10,Spadina-Fort York,1989,None,None,Stadium Corporation of Ontario Limited,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.390074, 43.642479]]}"
128,Percent for Public Art - Private Developer Program,11054,"3180 Bathurst Street, Cranbrooke Village","Powning, Peter",Spire Stela,None,None,Existing,SpireStela.jpg,https://www.toronto.ca/ext/pln/publicart/SpireStela.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/SpireStela.jpg,None,8,Eglinton-Lawrence,2014,"This two component artwork addresses the primary entrances to the building: the retail entrance from Bathurst Street and the residential entrance from Saranac Boulevard. These two, cast bronze, obelisk-like sculptures will be sheathed with a cast bronze skin of personal and historic mementos gathered through a series of community based ""casting sessions"". The artwork participates in the collective memory of the community through the provision of time markers that are both retrospective and prescient. As the client's mandate is to provide democratic financing for home ownership, the artist procurement was similarly democratic in that a national, open competition was held.",None,Options for Homes,None,portrait,https://www.powning.com/peter/public-commissions/spire-stela/,External website,"{'type': 'MultiPoint', 'coordinates': [[-79.430604, 43.722355]]}"
129,Percent for Public Art - Private Developer Program,11022,"150 East Liberty Street, Liberty Place","Gazitua, Francisco",Split Rock Gap,None,None,Existing,SplitRockGap.jpg,https://www.toronto.ca/ext/pln/publicart/SplitRockGap.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/SplitRockGap.jpg,None,10,Spadina-Fort York,2014,None,None,CanAlfa Liberty Village Homes Inc.,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.41631468, 43.63877561]]}"
130,Percent for Public Art - Private Developer Program,8054,"121 McMahon Drive, Tango Condominium","Lahey, James",Spring,coloured transparent film afixed to glazing,None,Existing,pixelgarden1.jpg,https://www.toronto.ca/ext/pln/publicart/pixelgarden1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/pixelgarden1.jpg,None,17,Don Valley North,2015,None,None,Concord Adex Development Corporation,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37062, 43.767718]]}"
131,Percent for Public Art - Private Developer Program,7043,"939 Lawrence Avenue East, Don Mills Centre","Coupland, Douglas",Starburst Clock Tower,None,None,Existing,Coupland_Starburst_Tower.jpg,https://www.toronto.ca/ext/pln/publicart/Coupland_Starburst_Tower.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Coupland_Starburst_Tower.jpg,None,16,Don Valley East,2009,None,None,Cadillac Fairview Corporation Limited,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.345064, 43.734149]]}"
132,Percent for Public Art - Private Developer Program,98069,"25 Capreol Court, CityPlace, Luna Condos","McEwen, John",Stardust and Time,None,None,Existing,McEwen_Stardust_and_Time.jpg,https://www.toronto.ca/ext/pln/publicart/McEwen_Stardust_and_Time.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/McEwen_Stardust_and_Time.jpg,None,10,Spadina-Fort York,2009,None,None,Concord Adex Development Corporation,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.395498, 43.640608]]}"
133,Percent for Public Art - Private Developer Program,5107,"33 Mill Street, Distillery Historic District","Oppenheim, Dennis",Still Dancing,Steel,None,Existing,StillDancing.jpg,https://www.toronto.ca/ext/pln/publicart/StillDancing.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/StillDancing.jpg,None,10,Spadina-Fort York,2010,"Still Dancing consists of a 38-foot chimney-like structure above a chamber formed by half circular arcs that elevate the chimney and allow people to enter under it. Angled down from the chimney is a massive spiral configuration made of perforated stainless steel. It encloses a pulsating, eighteen foot diameter frozen tear drop shape representing a liquid formation from a distillery. The spiral and tear drop shape are ignited by light operating in multiple directions on the surface of the structure.",None,CityScape Development,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.360993, 43.650352]]}"
134,Percent for Public Art - Private Developer Program,13011,"22 Adelaide Street East, Bay Adelaide Centre","Turrell, James",Straight Flush,LED Lights,None,Existing,Turrell_StraightFlush4.jpg,https://www.toronto.ca/ext/pln/publicart/Turrell_StraightFlush4.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Turrell_StraightFlush4.jpg,None,13,Toronto Centre,2011,"The lobby of the Bay Adelaide Centre features a light installation by world-renowned American artist James Turrell. The work, nearly five years in the making, consists of five glass elements recesses into a specially constructed wall in the south lobby. Arrays of LED lights have been programmed to run for 116 minutes. The installation creates a magnificent experience through the artist's exploration of light, optical phenomenon and spatial perception. This is Turrell's first permanent public commission in Canada.",None,Brookfield Realty,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.380597, 43.650143]]}"
135,Percent for Public Art - Private Developer Program,8054,"72 Esther Shiner Boulevard, Tango2 Condo","Zeman, Achim",Straight Forward,None,None,Existing,StraightForward.jpg,https://www.toronto.ca/ext/pln/publicart/StraightForward.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/StraightForward.jpg,None,17,Don Valley North,2016,None,None,Concord Adex Development Corp.,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37148503, 43.7683348]]}"
136,Percent for Public Art - Private Developer Program,10029,"21 Widmer Street, Cinema Tower","Powning, Peter",Strata,"Stained Concrete, Cast Bronze, Glass, LED Lighting",None,Existing,Powning_Strata.jpg,https://www.toronto.ca/ext/pln/publicart/Powning_Strata.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Powning_Strata.jpg,None,10,Spadina-Fort York,2013,"The concept for Strata is an imagined core sample of the geology below the building drawn up from the depths. The precast concrete is sculpted and stained as a vivid, dreamlike, possibly surreal vision of stone. The bronze relief represents what I'm calling ""the human era"" as an 'archaeological crust' devised from artifacts mainly found on the site. The three bronze strata loosely represent pre-European history, the post contact/modern era, and possibly a post-human era or at least a future in which our footprint is very light. The glass represents aquifers. The building is Cinema Tower and associates itself with TIFF. There is a theatrical movie-set quality that informs the concept as well. Atrist Statement.",None,The Daniels Corporation,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.391205, 43.647227]]}"
137,Percent for Public Art - Private Developer Program,8054,33 Singer Court,"Pernu, Jaakko",Summer Clouds,Weathering Steel,None,Existing,Summer_Clouds.jpg,https://www.toronto.ca/ext/pln/publicart/Summer_Clouds.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Summer_Clouds.jpg,None,17,Don Valley North,2011,None,None,Concord Adex Development Corporation,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.368693, 43.769418]]}"
138,Percent for Public Art - Private Developer Program,12059,120 Bremner Boulevard,"Coupland, Douglas",Superior,None,None,Existing,Superior.jpg,https://www.toronto.ca/ext/pln/publicart/Superior.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Superior.jpg,None,10,Spadina-Fort York,TBD,None,None,GWL Realty Advisors,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.383362, 43.642849]]}"
139,Percent for Public Art - Private Developer Program,089150 (H),"200 Wellington Street West, MetroCentre","Poldaas, Jaan",Surface Design for Tempered Glass Windscreens,Tempered Glass,None,Existing,SurfaceDesignForTemperedGlassWindscreens.jpg,https://www.toronto.ca/ext/pln/publicart/SurfaceDesignForTemperedGlassWindscreens.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/SurfaceDesignForTemperedGlassWindscreens.jpg,None,10,Spadina-Fort York,1992,None,None,Marathon Realty Company Limited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.388385, 43.646396]]}"
140,Percent for Public Art - Private Developer Program,089150 (M),"1 Adelaide Street East, One Financial Place","Spiegel, Stacey",Synthetic Garden of Eden,"Stainless Steel, Bronze, Marble, Glass",None,Existing,SyntheticGarden9.jpg,https://www.toronto.ca/ext/pln/publicart/SyntheticGarden9.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/SyntheticGarden9.jpg,None,13,Toronto Centre,1990,None,None,Twigg Yonge Adelaide Limited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.377525, 43.650377]]}"
141,Percent for Public Art - Private Developer Program,2019,"5000 Yonge Street, Transamerica Tower","Kipps, Paul / Whiten, Colette",Tempo,"Bronze, granite",None,Existing,Tempo15.jpg,https://www.toronto.ca/ext/pln/publicart/Tempo15.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Tempo15.jpg,None,18,Willowdale,2006,None,None,Menkes Developments Limited,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.412447, 43.766029]]}"
142,Percent for Public Art - Private Developer Program,92128,"200 Front Street West, Simcoe Place","Kipps, Paul / Whiten, Colette",Tender,None,None,Existing,Tender.jpg,https://www.toronto.ca/ext/pln/publicart/Tender.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Tender.jpg,None,10,Spadina-Fort York,1996,None,None,Cadillac Fairview,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.386141, 43.644955]]}"
143,Percent for Public Art - Private Developer Program,98005,"1 Blue Jays Way, Rogers Centre","Gellman, Mimi",The Art of the Possible,Stained Glass,None,Existing,art_of_the_possible.jpg,https://www.toronto.ca/ext/pln/publicart/art_of_the_possible.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/art_of_the_possible.jpg,None,10,Spadina-Fort York,1990,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3893, 43.6424]]}"
144,Percent for Public Art - Private Developer Program,1005,"1121 Bay Street, Elev'n Residences","Kipps, Paul / Whiten, Colette",The Ascent,"Paint, Metal",None,Existing,TheAscent2.jpg,https://www.toronto.ca/ext/pln/publicart/TheAscent2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TheAscent2.jpg,None,13,Toronto Centre,2002,None,None,Edilcan Development Corporation,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.388446, 43.668038]]}"
145,Percent for Public Art - Private Developer Program,98005,"1 Blue Jays Way, Rogers Centre","Snow, Michael",The Audience,Painted Fiberglass,None,Existing,RogersAudience1.jpg,https://www.toronto.ca/ext/pln/publicart/RogersAudience1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/RogersAudience1.jpg,None,10,Spadina-Fort York,1989,None,None,Stadium Corporation of Ontario Limited,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.388296, 43.64273]]}"
146,Percent for Public Art - Private Developer Program,7039,"112-116 George Street, VU Condos","Idee, Inges",The Brickman,Brick,None,Existing,Idee_Brickman1.jpg,https://www.toronto.ca/ext/pln/publicart/Idee_Brickman1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Idee_Brickman1.jpg,None,13,Toronto Centre,2010,"Brickman is an urban figure, both abstract and figurative blending elements of 19th century history with a contemporary take on monumental sculpture. The sculpture poses questions of human scale and urban development and comments on distinctive architectural materials and features in this historic area.",None,Aspen Ridge Developments,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.372246, 43.651754]]}"
147,Percent for Public Art - Private Developer Program,7034,"25 York Street Tower, TELUS House Toronto","Awad, Michael",The Entire City Project,None,None,Existing,Awad_TheEntireCityProject1.jpg,https://www.toronto.ca/ext/pln/publicart/Awad_TheEntireCityProject1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Awad_TheEntireCityProject1.jpg,None,10,Spadina-Fort York,2010,None,None,Menkes Developments Limited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.381094, 43.643529]]}"
148,Percent for Public Art - Private Developer Program,3102,"10 Bellair Street, No. 10 Bellair Residences","Reitzenstein, Reinhard",The Festival Walkway,Bronze,None,Existing,FestivalWalkway2.jpg,https://www.toronto.ca/ext/pln/publicart/FestivalWalkway2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/FestivalWalkway2.jpg,None,11,University-Rosedale,2003,None,None,"Tridel, Brookfield Developments",None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.390982, 43.669886]]}"
149,Percent for Public Art - Private Developer Program,4100,"15 Barberry Place, Amica Bayview Village","Clark Espinal, Panya",The Jack Pine Remembered,"Aluminum, Steel",None,Existing,JackPine9.jpg,https://www.toronto.ca/ext/pln/publicart/JackPine9.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/JackPine9.jpg,None,17,Don Valley North,2004,None,None,"The Daniels Corporation, Amica Mature Lifestyles",None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.38404, 43.766412]]}"
150,Percent for Public Art Commissions Donated to the City,89150,14 Temperance Street,"Priest, Margaret",The Monument to Construction Workers,"Mixed Media: Aggregates of Bronze Pipe, Granite, Brickwork, Etched Glass",None,Existing,constructionworkers.jpg,https://www.toronto.ca/ext/pln/publicart/constructionworkers.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/constructionworkers.jpg,None,13,Toronto Centre,1993,None,None,Markborough Properties,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.380064, 43.65111]]}"
151,Percent for Public Art - Private Developer Program,98069,"10 Capreol Court, CityPlace, Parade 1 Condominium","Parla, Jose",The Names that Live and Sometimes Fade While Time Flies,None,None,Existing,Parla_The_Names.jpg,https://www.toronto.ca/ext/pln/publicart/Parla_The_Names.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Parla_The_Names.jpg,"Photo of murals on two walls painted with colours of copper, yellow, white, brown and red. Located in the lobby of the condominium.",10,Spadina-Fort York,2011,"The Names that Live and Sometimes Fade While Time Flies is the title of one of two murals painted by Brooklyn, NY-based artist José Parlá at CityPlace - this one located in the north lobby of the Parade 1 condominium. The artist explains that the painting is an homage to friends, writers, artists, and collaborators who have worked with or influenced him throughout his career. Some of the names he knows like family, others he may have read about in books, some are still with us while others are dearly departed. This expansive work measures a staggering 66' X 16'.",None,Concord Adex Development Corporation,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.395873, 43.64026]]}"
152,Percent for Public Art Commissions Donated to the City,089150 (H),215 King Street West,"Miller, Bernie","The Poet, The Fever Hospital","Bronze, Granite, Steel, Marble",None,Existing,poetfeverhospital.jpg,https://www.toronto.ca/ext/pln/publicart/poetfeverhospital.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/poetfeverhospital.jpg,None,10,Spadina-Fort York,1992,None,None,Marathon Realty Company Limited,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.387564, 43.646942]]}"
153,Public Art & Monuments Collection - City-Owned,22,25 Queens Quay West,T-Zero Design (Paul De Figueiredo and Jonathan Fung),The Sundial Folly,"Metal, Stone, Water",Sculpture,Existing,sundialfolly.jpg,https://www.toronto.ca/ext/pln/publicart/sundialfolly.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/sundialfolly.jpg,None,10,Spadina-Fort York,1995,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.378622, 43.638578]]}"
